[1] reduce_sum_exponential.stan
Levels: reduce_sum_exponential.stan reduce_sum_exponentialGQ.stan
[1] 4
[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 dis: 372.106, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.40929, eps[k]: -1.01684, lambda: -2.67725e+32 
Chain 2 dis: 229.453, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.86368, eps[k]: -1.01684, lambda: -1.65088e+32 
Chain 2 dis: 168.379, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.03385, eps[k]: -1.01684, lambda: -1.21147e+32 
Chain 2 dis: 434.185, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.115937, eps[k]: -1.01684, lambda: -3.1239e+32 
Chain 2 dis: 87.8589, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.86394, eps[k]: -1.01684, lambda: -6.32132e+31 
Chain 2 dis: 221.637, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.761933, eps[k]: -1.01684, lambda: -1.59464e+32 
Chain 2 dis: 183.113, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.36759, eps[k]: -1.01684, lambda: -1.31747e+32 
Chain 2 dis: 271.182, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.2317, eps[k]: -1.01684, lambda: -1.95111e+32 
Chain 2 dis: 320.522, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.75744, eps[k]: -1.01684, lambda: -2.30611e+32 
Chain 2 dis: 262.174, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.243266, eps[k]: -1.01684, lambda: -1.88631e+32 
