[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 1 dis: 506.072, rho: 0 , theta: 197.733, floral[k]: -0.989519, zeta[i]: -10.3536, eps[k]: -18.6779, lambda: -inf 
Chain 1 dis: 444.982, rho: 0 , theta: 197.733, floral[k]: 1.18965, zeta[i]: -10.3536, eps[k]: -539.189, lambda: -inf 
Chain 1 dis: 388.792, rho: 0 , theta: 197.733, floral[k]: 1.04431, zeta[i]: -10.3536, eps[k]: -410.836, lambda: -inf 
Chain 1 dis: 339.939, rho: 0 , theta: 197.733, floral[k]: -0.509924, zeta[i]: -10.3536, eps[k]: -839.767, lambda: -inf 
Chain 1 dis: 610.192, rho: 0 , theta: 197.733, floral[k]: 1.07972, zeta[i]: -10.3536, eps[k]: -65.4072, lambda: -inf 
Chain 1 dis: 550.44, rho: 0 , theta: 197.733, floral[k]: 0.877506, zeta[i]: -10.3536, eps[k]: 46.9255, lambda: -inf 
Chain 1 dis: 494.858, rho: 0 , theta: 197.733, floral[k]: -0.528865, zeta[i]: -10.3536, eps[k]: -155.019, lambda: -inf 
Chain 1 dis: 445.01, rho: 0 , theta: 197.733, floral[k]: -0.693816, zeta[i]: -10.3536, eps[k]: -263.408, lambda: -inf 
Chain 1 dis: 403.031, rho: 0 , theta: 197.733, floral[k]: 0.958341, zeta[i]: -10.3536, eps[k]: -221.843, lambda: -inf 
Chain 1 dis: 656.094, rho: 0 , theta: 197.733, floral[k]: 0.0841977, zeta[i]: -10.3536, eps[k]: -1024.52, lambda: -inf 
Chain 1 dis: 600.924, rho: 0 , theta: 197.733, floral[k]: 1.32583, zeta[i]: -10.3536, eps[k]: -514.016, lambda: -inf 
Chain 1 dis: 550.463, rho: 0 , theta: 197.733, floral[k]: 0.644807, zeta[i]: -10.3536, eps[k]: -788.671, lambda: -inf 
Chain 1 dis: 506.121, rho: 0 , theta: 197.733, floral[k]: -0.054427, zeta[i]: -10.3536, eps[k]: -52.259, lambda: -inf 
Chain 1 dis: 469.637, rho: 0 , theta: 197.733, floral[k]: -1.19589, zeta[i]: -10.3536, eps[k]: -43.0436, lambda: -inf 
Chain 1 dis: 706.99, rho: 0 , theta: 197.733, floral[k]: 1.91243, zeta[i]: -10.3536, eps[k]: -52.7396, lambda: -inf 
Chain 1 dis: 656.113, rho: 0 , theta: 197.733, floral[k]: 1.25655, zeta[i]: -10.3536, eps[k]: -183.938, lambda: -inf 
