[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 1 dis: 445.112, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.18965, zeta[i]: -16.7119, eps[k]: -2139.01, lambda: -inf 
Chain 1 dis: 506.211, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.04431, zeta[i]: -16.7119, eps[k]: -13.1691, lambda: -inf 
Chain 1 dis: 403.113, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.07972, zeta[i]: -16.7119, eps[k]: -2630.43, lambda: -inf 
Chain 1 dis: 445.112, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.877506, zeta[i]: -16.7119, eps[k]: 23.5214, lambda: -inf 
Chain 1 dis: 610.328, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.958341, zeta[i]: -16.7119, eps[k]: -148.358, lambda: -inf 
Chain 1 dis: 469.707, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.0841977, zeta[i]: -16.7119, eps[k]: 10.6211, lambda: -1.22171e+139 
Chain 1 dis: 506.211, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.32583, zeta[i]: -16.7119, eps[k]: 10.4865, lambda: -inf 
Chain 1 dis: 550.568, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.644807, zeta[i]: -16.7119, eps[k]: 8.68929, lambda: -inf 
Chain 1 dis: 538.516, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.91243, zeta[i]: -16.7119, eps[k]: -138.533, lambda: -inf 
Chain 1 dis: 570.635, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.25655, zeta[i]: -16.7119, eps[k]: 22.1433, lambda: -inf 
Chain 1 dis: 610.328, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.464287, zeta[i]: -16.7119, eps[k]: 16.0554, lambda: -inf 
Chain 1 dis: 707.107, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.936751, zeta[i]: -16.7119, eps[k]: -751.113, lambda: -inf 
Chain 1 dis: 672.579, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.159276, zeta[i]: -1.5571, eps[k]: 16.4015, lambda: -inf 
Chain 1 dis: 623.532, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.85836, zeta[i]: -1.5571, eps[k]: 22.6816, lambda: -inf 
Chain 1 dis: 543.508, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.745178, zeta[i]: -1.5571, eps[k]: 18.0333, lambda: -inf 
Chain 1 dis: 515.344, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.02998, zeta[i]: -1.5571, eps[k]: 23.3181, lambda: -inf 
Chain 1 dis: 620.137, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.34103, zeta[i]: -1.5571, eps[k]: 17.0427, lambda: -inf 
Chain 1 dis: 518.342, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.18965, zeta[i]: -1.5571, eps[k]: -2139.01, lambda: -inf 
Chain 1 dis: 477.083, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.04431, zeta[i]: -1.5571, eps[k]: -13.1691, lambda: -inf 
Chain 1 dis: 572.737, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.07972, zeta[i]: -1.5571, eps[k]: -2630.43, lambda: -inf 
Chain 1 dis: 514.254, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.877506, zeta[i]: -1.5571, eps[k]: 23.5214, lambda: -inf 
Chain 1 dis: 375.826, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.958341, zeta[i]: -1.5571, eps[k]: -148.358, lambda: -inf 
Chain 1 dis: 531.728, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.0841977, zeta[i]: -1.5571, eps[k]: 10.6211, lambda: -1.38303e+139 
Chain 1 dis: 468.15, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.32583, zeta[i]: -1.5571, eps[k]: 10.4865, lambda: -inf 
Chain 1 dis: 408.465, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.644807, zeta[i]: -1.5571, eps[k]: 8.68929, lambda: -inf 
Chain 1 dis: 498.691, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.91243, zeta[i]: -1.5571, eps[k]: -138.533, lambda: -inf 
Chain 1 dis: 430.258, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.25655, zeta[i]: -1.5571, eps[k]: 22.1433, lambda: -inf 
Chain 1 dis: 364.419, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.464287, zeta[i]: -1.5571, eps[k]: 16.0554, lambda: -inf 
Chain 1 dis: 248.818, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.936751, zeta[i]: -1.5571, eps[k]: -751.113, lambda: -inf 
Chain 1 dis: 177.016, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.159276, zeta[i]: -1.36329, eps[k]: 16.4015, lambda: -inf 
Chain 1 dis: 214.171, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.85836, zeta[i]: -1.36329, eps[k]: 22.6816, lambda: -inf 
Chain 1 dis: 329.679, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.745178, zeta[i]: -1.36329, eps[k]: 18.0333, lambda: -inf 
Chain 1 dis: 396.198, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.02998, zeta[i]: -1.36329, eps[k]: 23.3181, lambda: -inf 
Chain 1 dis: 248.943, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.34103, zeta[i]: -1.36329, eps[k]: 17.0427, lambda: -inf 
Chain 1 dis: 319.831, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.18965, zeta[i]: -1.36329, eps[k]: -2139.01, lambda: -inf 
Chain 1 dis: 373.265, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.04431, zeta[i]: -1.36329, eps[k]: -13.1691, lambda: -inf 
Chain 1 dis: 322.275, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.07972, zeta[i]: -1.36329, eps[k]: -2630.43, lambda: -inf 
Chain 1 dis: 344.086, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.877506, zeta[i]: -1.36329, eps[k]: 23.5214, lambda: -inf 
Chain 1 dis: 479.061, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.958341, zeta[i]: -1.36329, eps[k]: -148.358, lambda: -inf 
Chain 1 dis: 396.231, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.0841977, zeta[i]: -1.36329, eps[k]: 10.6211, lambda: -1.0306e+139 
Chain 1 dis: 414.166, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.32583, zeta[i]: -1.36329, eps[k]: 10.4865, lambda: -inf 
Chain 1 dis: 444.205, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.644807, zeta[i]: -1.36329, eps[k]: 8.68929, lambda: -inf 
Chain 1 dis: 470.518, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.91243, zeta[i]: -1.36329, eps[k]: -138.533, lambda: -inf 
Chain 1 dis: 485.718, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.25655, zeta[i]: -1.36329, eps[k]: 22.1433, lambda: -inf 
Chain 1 dis: 511.572, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.464287, zeta[i]: -1.36329, eps[k]: 16.0554, lambda: -inf 
Chain 1 dis: 589.089, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.936751, zeta[i]: -1.36329, eps[k]: -751.113, lambda: -inf 
Chain 1 dis: 551.35, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.159276, zeta[i]: -15.6866, eps[k]: 16.4015, lambda: -inf 
Chain 1 dis: 484.367, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.85836, zeta[i]: -15.6866, eps[k]: 22.6816, lambda: -inf 
Chain 1 dis: 360.016, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.745178, zeta[i]: -15.6866, eps[k]: 18.0333, lambda: -inf 
Chain 1 dis: 306.572, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.02998, zeta[i]: -15.6866, eps[k]: 23.3181, lambda: -inf 
Chain 1 dis: 524.175, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.34103, zeta[i]: -15.6866, eps[k]: 17.0427, lambda: -inf 
Chain 1 dis: 383.743, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.18965, zeta[i]: -15.6866, eps[k]: -2139.01, lambda: -inf 
Chain 1 dis: 316.834, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.04431, zeta[i]: -15.6866, eps[k]: -13.1691, lambda: -inf 
Chain 1 dis: 506.736, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.07972, zeta[i]: -15.6866, eps[k]: -2630.43, lambda: -inf 
Chain 1 dis: 432.905, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.877506, zeta[i]: -15.6866, eps[k]: 23.5214, lambda: -inf 
Chain 1 dis: 216.29, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.958341, zeta[i]: -15.6866, eps[k]: -148.358, lambda: -inf 
Chain 1 dis: 500.054, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.0841977, zeta[i]: -15.6866, eps[k]: 10.6211, lambda: -1.30064e+139 
Chain 1 dis: 425.064, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.32583, zeta[i]: -15.6866, eps[k]: 10.4865, lambda: -inf 
Chain 1 dis: 350.077, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.644807, zeta[i]: -15.6866, eps[k]: 8.68929, lambda: -inf 
Chain 1 dis: 504.556, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.91243, zeta[i]: -15.6866, eps[k]: -138.533, lambda: -inf 
Chain 1 dis: 430.35, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.25655, zeta[i]: -15.6866, eps[k]: 22.1433, lambda: -inf 
Chain 1 dis: 356.478, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.464287, zeta[i]: -15.6866, eps[k]: 16.0554, lambda: -inf 
Chain 1 dis: 211.131, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.936751, zeta[i]: -15.6866, eps[k]: -751.113, lambda: -inf 
Chain 1 dis: 660.493, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.159276, zeta[i]: -2.3926, eps[k]: 16.4015, lambda: -inf 
Chain 1 dis: 613.44, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.85836, zeta[i]: -2.3926, eps[k]: 22.6816, lambda: -inf 
Chain 1 dis: 538.678, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.745178, zeta[i]: -2.3926, eps[k]: 18.0333, lambda: -inf 
Chain 1 dis: 513.791, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.02998, zeta[i]: -2.3926, eps[k]: 23.3181, lambda: -inf 
Chain 1 dis: 606.303, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.34103, zeta[i]: -2.3926, eps[k]: 17.0427, lambda: -inf 
Chain 1 dis: 508.889, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.18965, zeta[i]: -2.3926, eps[k]: -2139.01, lambda: -inf 
Chain 1 dis: 470.665, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.04431, zeta[i]: -2.3926, eps[k]: -13.1691, lambda: -inf 
Chain 1 dis: 556.96, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.07972, zeta[i]: -2.3926, eps[k]: -2630.43, lambda: -inf 
Chain 1 dis: 500.262, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.877506, zeta[i]: -2.3926, eps[k]: 23.5214, lambda: -inf 
Chain 1 dis: 371.395, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.958341, zeta[i]: -2.3926, eps[k]: -148.358, lambda: -inf 
Chain 1 dis: 513.864, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.0841977, zeta[i]: -2.3926, eps[k]: 10.6211, lambda: -1.33656e+139 
Chain 1 dis: 451.789, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.32583, zeta[i]: -2.3926, eps[k]: 10.4865, lambda: -inf 
Chain 1 dis: 394.235, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.644807, zeta[i]: -2.3926, eps[k]: 8.68929, lambda: -inf 
Chain 1 dis: 478.704, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.91243, zeta[i]: -2.3926, eps[k]: -138.533, lambda: -inf 
