[1] reduce_sum_exponential.stan
Levels: reduce_sum_exponential.stan reduce_sum_exponentialGQ.stan
[1] 4
[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 dis: 152.254, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.02998, zeta[i]: -1.87873, eps[k]: -2.41841, lambda: -inf 
Chain 2 dis: 189.869, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.34103, zeta[i]: -1.87873, eps[k]: -2.89754, lambda: -inf 
Chain 2 dis: 113.047, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.18965, zeta[i]: -1.87873, eps[k]: -57.2551, lambda: -inf 
Chain 2 dis: 134.235, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.04431, zeta[i]: -1.87873, eps[k]: -192.193, lambda: -inf 
Chain 2 dis: 185.765, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.509924, zeta[i]: -1.87873, eps[k]: -0.0133755, lambda: -3.79119e+34 
Chain 2 dis: 242.132, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.07972, zeta[i]: -1.87873, eps[k]: -11.6507, lambda: -inf 
Chain 2 dis: 203.39, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.877506, zeta[i]: -1.87873, eps[k]: -1.59724, lambda: -inf 
Chain 2 dis: 188.035, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.528865, zeta[i]: -1.87873, eps[k]: 1.63816, lambda: -3.2727e+26 
Chain 2 dis: 238.928, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.958341, zeta[i]: -1.87873, eps[k]: -3.22185, lambda: -inf 
Chain 2 dis: 304.065, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.0841977, zeta[i]: -1.87873, eps[k]: -0.524956, lambda: -7.9206e+287 
Chain 2 dis: 274.217, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.32583, zeta[i]: -1.87873, eps[k]: -468.4, lambda: -inf 
Chain 2 dis: 263.03, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.644807, zeta[i]: -1.87873, eps[k]: -0.4514, lambda: -inf 
Chain 2 dis: 272.808, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.054427, zeta[i]: -1.87873, eps[k]: 0.484801, lambda: -6.23975e+228 
Chain 2 dis: 370.855, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.91243, zeta[i]: -1.87873, eps[k]: -142.352, lambda: -inf 
Chain 2 dis: 346.804, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.25655, zeta[i]: -1.87873, eps[k]: -0.987613, lambda: -inf 
Chain 2 dis: 338.027, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.464287, zeta[i]: -1.87873, eps[k]: -12.009, lambda: -inf 
Chain 2 dis: 368.77, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.936751, zeta[i]: -1.87873, eps[k]: -120.046, lambda: -inf 
Chain 2 dis: 259.503, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.159276, zeta[i]: -0.914498, eps[k]: -1.18416, lambda: -inf 
