"","ClusterIndex","Probability","OffspringID","FatherID","MotherID"
"502","298",1,"NR3_01_04","*298","#298"
"503","299",1,"ED10_24A_03","*299","#299"
"504","300",1,"ED10_24A_05","*300","#300"
"505","300",1,"NR9_14A_04","*300","#300"
"506","301",1,"ED10_24A_06","*301","#301"
"507","302",1,"ED10_25A_02","*302","#302"
"508","303",1,"ED10_25A_03","*303","#303"
"509","304",1,"ED10_29_03","*304","#304"
"510","305",1,"ED10_29_04","*305","#305"
"511","306",1,"ED10_29_05","*306","#306"
"512","306",1,"NR7_07A_01","*306","#306"
"513","307",1,"ED10_29_07","*307","#307"
"514","308",1,"ED10_32_01","*308","#308"
"515","309",1,"ED10_32_03","*309","#309"
"516","310",1,"ED11_19A_03","*310","#310"
"517","310",1,"HR7_27_01","*310","#310"
"518","311",1,"ED13_01A_01","*311","#311"
"519","312",1,"ED13_01A_02","*312","#312"
"520","312",1,"W10_08_01","*312","#312"
"521","885",0.3569,"ED13_01A_03","*313","#313"
"522","886",0.3569,"NR7_08A_01","*313","#313"
"523","314",1,"ED13_07_01","*314","#314"
"524","314",1,"HR9_28_05","*314","#314"
"525","315",0.9644,"ED14_01A_01","*315","#315"
"526","316",1,"ED14_25A_01","*316","#316"
"527","316",1,"PM3_52_06","*316","#316"
"528","316",1,"SD15_02_02","*316","#316"
"529","316",1,"W9_36_01","*316","#316"
"530","317",1,"ED14_27B_01","*317","#317"
"531","318",1,"ED14_28_01","*318","#318"
"532","319",1,"ED14_29_01","*319","#319"
"533","319",1,"NR14_18_02","*319","#319"
"534","320",1,"ED15_06_01","*320","#320"
"535","320",1,"SD4_26_05","*320","#320"
"536","321",1,"ED15_27_01","*321","#321"
"537","322",1,"ED17_25A_01","*322","#322"
"538","322",1,"NR7_30A_01","*322","#322"
"539","323",1,"ED17_31_02","*323","#323"
"540","323",1,"SD7_37_01","*323","#323"
"541","324",1,"HR1_18_03","*324","#324"
"542","324",1,"NR16_20_01","*324","#324"
"543","325",1,"HR2_06_02","*325","#325"
"544","326",1,"HR2_10_05","*326","#326"
"545","327",1,"HR2_21_05","*327","#327"
"546","887",0.8978,"HR2_28_01","*328","#328"
"547","888",0.8978,"HR14_12_01","*328","#328"
"548","329",1,"HR3_01_01","*329","#329"
"549","330",0.9928,"HR3_11_01","*330","#330"
"550","330",0.9928,"HR8_13_01","*330","#330"
"551","331",1,"HR3_11_02","*331","#331"
"552","332",1,"HR3_23_01","*332","#332"
"553","332",1,"HR6_28_04","*332","#332"
"554","332",1,"HR8_07A_01","*332","#332"
"555","332",1,"HR9_36_03","*332","#332"
"556","332",1,"HR9_36_06","*332","#332"
"557","333",1,"HR3_23_02","*333","#333"
"558","333",1,"W8_25_04","*333","#333"
"559","334",1,"HR3_28_01","*334","#334"
"560","334",1,"PM6_62_04","*334","#334"
"561","335",1,"HR4_26_01","*335","#335"
"562","335",1,"HR5_05A_01","*335","#335"
"563","889",0.7137,"HR5_06A_03","*336","#336"
"564","890",0.7137,"PM6_47_01","*336","#336"
"565","337",1,"HR5_07A_01","*337","#337"
"566","337",1,"HR17_21_01","*337","#337"
"567","338",1,"HR5_23_02","*338","#338"
"568","338",1,"HR8_23_05","*338","#338"
