"","ClusterIndex","Probability","OffspringID","FatherID","MotherID"
"674","414",1,"HR18_12C_01","*414","#414"
"675","414",1,"HR21_12_03","*414","#414"
"676","415",1,"HR18_24_01","*415","#415"
"677","416",1,"HR18_18_02","*416","#416"
"678","417",1,"HR18_24_02","*417","#417"
"679","418",1,"HR18_32_05","*418","#418"
"680","418",1,"HR21_16_06","*418","#418"
"681","419",1,"HR18_32_12","*419","#419"
"682","419",1,"HR19_34_06","*419","#419"
"683","420",0.9696,"HR18_32_19","*420","#420"
"684","420",0.9696,"HR19_09_02","*420","#420"
"685","421",1,"HR18_05A_02","*421","#421"
"686","814",0.7348,"HR18_32_04","*422","#422"
"687","423",1,"HR18_07_01","*423","#423"
"688","424",1,"HR18_01_02","*424","#424"
"689","424",1,"NR22_29_04","*424","#424"
"690","425",1,"HR18_33_01","*425","#425"
"691","425",1,"HR18_18_03","*425","#425"
"692","815",0.8808,"HR18_32_03","*426","#426"
"693","427",1,"HR18_32_02","*427","#427"
"694","428",1,"HR18_23_03","*428","#428"
"695","428",1,"HR19_23_05","*428","#428"
"696","429",1,"HR18_32_07","*429","#429"
"697","816",0.8199,"HR18_32_13","*430","#430"
"698","817",0.8199,"HR19_07_05","*430","#430"
"699","818",0.8199,"NR20_27_09","*430","#430"
"700","431",1,"HR18_23_01","*431","#431"
"701","432",1,"HR18_32_17","*432","#432"
"702","819",0.2828,"HR18_32_06","*433","#433"
"703","434",1,"HR17_32_01","*434","#434"
"704","434",1,"HR19_32_04","*434","#434"
"705","435",1,"HR17_09_02","*435","#435"
"706","436",1,"HR18_32_15","*436","#436"
"707","436",1,"HR20_27_05","*436","#436"
"708","437",1,"HR18_32_08","*437","#437"
"709","438",1,"HR18_23_04","*438","#438"
"710","439",1,"HR18_23_05","*439","#439"
"711","440",0.968,"HR16_36_01","*440","#440"
"712","441",1,"HR17_28_01","*441","#441"
"713","441",1,"HR20_27_01","*441","#441"
"714","442",1,"HR18_23_06","*442","#442"
"715","443",1,"HR17_32_02","*443","#443"
"716","444",1,"HR18_01_03","*444","#444"
"717","445",1,"NR18_19_01","*445","#445"
"718","445",1,"HR19_34_08","*445","#445"
"719","446",1,"HR17_24_01","*446","#446"
"720","820",0.9053,"HR17_07A_01","*447","#447"
"721","821",0.9053,"HR19_08_01","*447","#447"
"722","448",1,"HR18_32_20","*448","#448"
"723","448",1,"NR20_01_07","*448","#448"
"724","449",1,"HR17_32_09","*449","#449"
"725","450",1,"HR17_09_01","*450","#450"
"726","451",1,"HR18_32_11","*451","#451"
"727","451",1,"NR23_29_06","*451","#451"
"728","452",1,"HR19_34_03","*452","#452"
"729","453",1,"HR19_31_02","*453","#453"
"730","453",1,"HR20_31_01","*453","#453"
"731","454",1,"HR19_25_06","*454","#454"
"732","455",1,"HR19_32_08","*455","#455"
"733","456",1,"HR19_25_03","*456","#456"
"734","457",1,"HR19_04_09","*457","#457"
"735","458",1,"HR19_25_08","*458","#458"
"736","459",0.9991,"HR19_23_07","*459","#459"
"737","460",1,"HR19_07_09","*460","#460"
"738","461",1,"HR19_27_14","*461","#461"
"739","461",1,"NR21_24_01","*461","#461"
"740","462",1,"HR19_07_16","*462","#462"
"741","463",1,"HR17_32_05","*463","#463"
"742","463",1,"HR19_27_10","*463","#463"
"743","822",0.9495,"HR19_04_02","*464","#464"
"744","823",0.9495,"HR19_04_11","*464","#464"
"745","824",0.9495,"W19_17_06","*464","#464"
"746","465",0.95,"HR19_18_03","*465","#465"
"747","466",1,"HR19_07_11","*466","#466"
"748","467",1,"HR19_24_07","*467","#467"
"749","468",1,"HR19_32_12","*468","#468"
"750","468",1,"HR19_32_17","*468","#468"
"751","469",0.9785,"HR19_27_08","*469","#469"
"752","469",0.9785,"HR20_33_02","*469","#469"
"753","470",1,"HR19_04_07","*470","#470"
"754","471",1,"HR19_34_07","*471","#471"
"755","471",1,"W19_09_03","*471","#471"
"756","825",0.2828,"HR19_24_03","*472","#472"
"757","826",0.2828,"NR21_44_02","*472","#472"
"758","827",0.9041,"HR19_25_09","*473","#473"
"759","828",0.9041,"HR20_27_06","*473","#473"
"760","474",1,"HR19_36_01","*474","#474"
"761","474",1,"HR21_19A_01","*474","#474"
"762","475",1,"HR19_07_14","*475","#475"
"763","475",1,"HR20_07_08","*475","#475"
"764","476",1,"HR19_04_05","*476","#476"
"765","477",1,"HR19_34_05","*477","#477"
"766","478",1,"HR19_27_12","*478","#478"
"767","479",1,"HR19_07_04","*479","#479"
"768","479",1,"SD21_27_02","*479","#479"
"769","480",1,"HR19_04_08","*480","#480"
"770","481",1,"HR19_21_01","*481","#481"
"771","481",1,"HR19_35_01","*481","#481"
"772","482",1,"HR19_24_01","*482","#482"
"773","483",0.998,"HR19_07_15","*483","#483"
"774","484",1,"HR19_07_02","*484","#484"
"775","485",1,"HR19_24_06","*485","#485"
"776","486",1,"HR19_07_10","*486","#486"
"777","486",1,"HR20_07_12","*486","#486"
"778","486",1,"HR20_07_09","*486","#486"
"779","487",1,"HR19_23_02","*487","#487"
"780","488",0.9991,"HR19_23_03","*488","#488"
"781","488",0.9991,"W22_05_13","*488","#488"
"782","489",1,"HR19_27_06","*489","#489"
"783","490",1,"HR19_04_03","*490","#490"
"784","491",0.987,"HR19_25_05","*491","#491"
"785","492",1,"HR19_27_02","*492","#492"
"786","493",1,"HR19_07_08","*493","#493"
"787","494",1,"HR19_04_01","*494","#494"
"788","495",1,"HR19_32_14","*495","#495"
"789","496",1,"HR19_25_07","*496","#496"
"790","497",1,"HR19_34_01","*497","#497"
"791","498",1,"HR19_27_01","*498","#498"
"792","498",1,"HR20_19A_02","*498","#498"
"793","499",1,"HR18_18_01","*499","#499"
"794","500",0.9927,"HR19_34_02","*500","#500"
"795","501",1,"HR19_34_04","*501","#501"
"796","502",0.9901,"HR18_27_02","*502","#502"
