"sample_pt","site_id","site_name","type","site_type","transect","latitude","longitude","project_co","subsite","geometry","idwSN_mix","idwSN_imp","landscape_iji_mix_mean","landscape_iji_imp_mean","landscape_iji_1000","landscape_iji_250","prop_seminat_250","prop_seminat_1000"
"HR10","harvey_road","point","bumble point","Point",49.1588394,-122.7276809,"FVBomb","hr2","c(-13661982.9440274"," 6301856.21941965)",218466.572322339,338697.725085759,62.0793490955654,66.2056458206029,65.5999034509128,58.1172842844845,0.263662871776668,0.171901841271457
"HR11","harvey_road","point","bumble point","Point",49.1627115,-122.7235836,"FVBomb","hr2","c(-13661526.8346777"," 6302515.36408972)",363064.707433574,546741.529940122,72.6851469464755,76.2504109078426,76.108949600843,63.026773019137,0.229331048051764,0.2967259780137
"HR12","harvey_road","point","bumble point","Point",49.1590772,-122.7236265,"FVBomb","hr2","c(-13661531.6102839"," 6301896.69844951)",179239.701150958,306410.665617714,65.506349347429,70.3335718462891,70.0289782304192,65.3968172997557,0.0385899061628202,0.165496014671988
"HR12A","harvey_road","point","bumble point","Point",49.1590772,-122.7254287,"FVBomb","hr2","c(-13661732.2302702"," 6301896.69844951)",203218.335015164,332072.623084283,60.4084297366287,69.2239094080526,68.6166827077733,70.7929534069822,0.0481093555831706,0.172314602109016
"HR12B","harvey_road","point","bumble point","Point",49.1590491,-122.7221993,"FVBomb","hr2","c(-13661372.7351066"," 6301891.91517303)",160131.111207328,283380.820121314,69.2349208986281,70.9082039251761,70.9198389733263,69.7648468000505,0.0537878711038533,0.153894483951689
"HR12C","harvey_road","point","bumble point","Point",49.1604103,-122.7221135,"FVBomb","hr2","c(-13661363.1838943"," 6302123.62633218)",177325.365258192,323711.817703856,70.0679794150207,72.5895959270083,72.0053098106945,60.5758230019567,0.0441474794603915,0.177240285613849
"HR13","harvey_road","point","bumble point","Point",49.1627706,-122.7182544,"FVBomb",NA,"c(-13660933.5908474"," 6302525.42503756)",211663.855879854,374940.967614852,72.6022227989254,72.9184217270056,72.8590303066413,66.4234727527356,0.0647193062528526,0.210906226607711
"HR14","harvey_road","point","bumble point","Point",49.1589819,-122.7208294,"FVBomb","hr2","c(-13661220.2385362"," 6301880.47617409)",145690.661030403,262967.579197075,71.4895444742385,71.9552367074679,71.848544165277,77.5259311167667,0.0481375358166189,0.148551717073192
"HR15","harvey_road","point","bumble point","Point",49.1571947,-122.7208582,"FVBomb",NA,"c(-13661223.4445375"," 6301576.25896881)",176443.012447261,267842.6461508,70.2257161708938,69.071388664856,69.1503306776433,57.9908137400767,0.0602063173270038,0.136077597382456
"HR16","harvey_road","point","bumble point","Point",49.159073,-122.7088316,"FVBomb","hr1","c(-13659884.6495496"," 6301895.98351121)",249378.995837033,385936.220851486,72.3115383418453,70.3922929615847,70.3329801608016,74.122738695723,0.111879139492662,0.198614771276927
"HR18","harvey_road","point","bumble point","Point",49.1589046,-122.7058168,"FVBomb","hr1","c(-13659549.0435487"," 6301867.31794004)",320439.753340867,485930.206439518,69.2481177831594,71.3664402443862,71.2061271332397,66.2399380040254,0.142792669445543,0.261197491181725
"HR19","harvey_road","point","bumble point","Point",49.1573821,-122.7088853,"FVBomb",NA,"c(-13659890.6274062"," 6301608.15768387)",224631.48293978,346787.113257568,71.7507533276538,70.712303735338,70.6704120516609,67.9653971821163,0.0995588011562452,0.17844136277686
"HR19A","harvey_road","point","bumble point","Point",49.1578943,-122.7080699,"FVBomb","hr1","c(-13659799.8574934"," 6301695.34358166)",246332.814211823,381584.303716293,71.8470363848252,70.8720460127682,70.7131828281491,72.7453806658223,0.117837075802755,0.191928546137477
"HR20A","harvey_road","point","bumble point","Point",49.1607689,-122.7016926,"FVBomb","hr1","c(-13659089.9397048"," 6302184.67031129)",464893.42003556,676214.18278246,64.0270196683892,65.8256710415818,65.624280600824,73.8103855614155,0.279194433456065,0.350062734458906
"HR21","harvey_road","point","bumble point","Point",49.1517732,-122.712283,"FVBomb","hr4","c(-13660268.8576401"," 6300653.47832359)",144530.547011154,229373.633409129,67.3038820193276,66.1090190920281,66.0096075393976,61.0199117346287,0.159627555988315,0.111228641689386
"HR21A","harvey_road","point","bumble point","Point",49.1540493,-122.7112586,"FVBomb",NA,"c(-13660154.8219537"," 6301040.87560183)",176017.023502355,255841.569854156,69.2475713445395,72.6999424189714,72.4024602807503,63.7749759424657,0.213966180095556,0.114742510371576
"HR22","harvey_road","point","bumble point","Point",49.1544635,-122.7016219,"FVBomb",NA,"c(-13659082.0694168"," 6301111.37527664)",370482.350391597,559823.100852689,72.13435507469,71.6631284301492,71.6260582153004,74.3865002443844,0.234143546105045,0.300159063434498
"HR23","harvey_road","point","bumble point","Point",49.1518644,-122.70223,"FVBomb","hr4","c(-13659149.7627991"," 6300669.00042396)",304883.346010502,506930.07025612,75.4006569525535,74.2627883216125,74.2987586470455,74.7529117355066,0.0594776876267749,0.255304359665743
"HR24","harvey_road","point","bumble point","Point",49.155363,-122.709293,"FVBomb",NA,"c(-13659936.0123626"," 6301264.47836303)",197157.336924626,298607.683017292,72.2750790587008,72.3812623829123,72.277483374671,66.2198414651412,0.220526708150132,0.137040766173095
"HR25","harvey_road","point","bumble point","Point",49.1628452,-122.7128068,"FVBomb","hr1","c(-13660327.1667894"," 6302538.12466062)",247898.940162836,394969.490721224,75.0736485624619,76.9735312901876,76.9189170258903,66.8339521322453,0.284628999457357,0.20183231741166
"HR26","harvey_road","point","bumble point","Point",49.1592195,-122.7127155,"FVBomb","hr1","c(-13660317.0033199"," 6301920.92127563)",176871.454182829,286386.260664564,72.1094471467648,73.9679931910745,73.9080882569118,69.423612800277,0.0474545841828196,0.154516629918424
"HR27","harvey_road","point","bumble point","Point",49.1555078,-122.7125975,"FVBomb",NA,"c(-13660303.8676199"," 6301289.12490066)",189345.637982247,267672.181954666,70.8987434105771,72.7188009686764,72.5687952838692,69.2848033672579,0.286273555244528,0.127414955057842
"HR28","harvey_road","point","bumble point","Point",49.1535131,-122.7159115,"FVBomb",NA,"c(-13660672.7804124"," 6300949.61156754)",183093.265952484,253923.714388754,71.0947194811758,65.9896742363795,66.0105296218177,75.0771546065883,0.123939490752714,0.118608826000496
"HR29","harvey_road","point","bumble point","Point",49.1482013,-122.7015327,"FVBomb","hr4","c(-13659072.1397182"," 6300045.56888628)",486514.463665255,751183.571385007,76.2363026308936,76.6695198277272,76.6389681936187,71.4542404356383,0.143001318592149,0.440981383840036
"HR31","harvey_road","point","bumble point","Point",49.1479179,-122.711316,"FVBomb","hr4","c(-13660161.2116925"," 6299997.33829986)",220008.041581012,344887.619230598,69.8260452457015,69.0530824073933,68.9688040407434,66.4135701239735,0.0948864760146666,0.185606993312222
"HR32","harvey_road","point","bumble point","Point",49.147953,-122.7201041,"FVBomb","hr3","c(-13661139.4985095"," 6300003.31179789)",108319.792962235,188070.391589788,59.6570031211205,63.3419813201363,63.0536094313977,55.0811174248524,0.106546236471889,0.087892528751721
"HR33","harvey_road","point","bumble point","Point",49.1479665,-122.730115,"FVBomb","hr3","c(-13662253.9067999"," 6300005.60929826)",200702.094683199,296312.749871289,62.1955310591297,61.3638606433239,63.7258767903706,62.2947713923789,0.247544234211848,0.161697913508606
"HR34","harvey_road","point","bumble point","Point",49.1628452,-122.7053717,"FVBomb","hr1","c(-13659499.4952434"," 6302538.12466062)",417205.992463137,607826.791846419,69.748914840614,70.9415787993792,70.9960482329496,72.8071866680579,0.366441829800183,0.30388811284915
"HR35","harvey_road","point","bumble point","Point",49.1516644,-122.7064572,"FVBomb","hr4","c(-13659620.3325506"," 6300634.96076754)",162551.775039148,318840.172873597,69.7460461386266,72.438363307726,72.0530236504567,75.9290526296271,0.0162967396376473,0.171135537801102
"HR36","harvey_road","point","bumble point","Point",49.1568666,-122.7016479,"FVBomb",NA,"c(-13659084.9637235"," 6301520.41097547)",431362.374698329,622731.094402836,67.7740479149593,69.0459487376342,69.1139160197679,64.6087731072755,0.348668796592119,0.318591998615515
"NR01","nicomekl_river","point","bumble point","Point",49.089725,-122.7790482,"FVBomb","nr2","c(-13667701.1257068"," 6290099.58518249)",192823.282204608,296054.032622472,60.1255673704232,65.0695474645229,64.7133335932716,53.8703058447333,0.145433429859572,0.156206416508027
"NR02","nicomekl_river","point","bumble point","Point",49.0896266,-122.7732653,"FVBomb","nr2","c(-13667057.3762235"," 6290082.85862487)",132630.562076076,215087.503524956,69.100692325506,70.6584360897516,70.5159184386743,66.9730161278636,0.0724032839590063,0.10413991746506
"NR03","nicomekl_river","point","bumble point","Point",49.0808067,-122.7737623,"FVBomb",NA,"c(-13667112.7020104"," 6288583.73954071)",173685.832072392,243702.067678053,51.5516480498784,51.1066056210165,51.0316779693243,49.8279090519534,0.209509944658899,0.121663455185119
"NR03A","nicomekl_river","point","bumble point","Point",49.0792536,-122.7756076,"FVBomb","nr3","c(-13667318.1198668"," 6288319.78658255)",164554.3906548,235538.554131036,52.927090847956,56.7254702092559,56.5383556107313,57.4486364999215,0.15322695179354,0.121541732400196
"NR04A","nicomekl_river","point","bumble point","Point",49.0857059,-122.7641659,"FVBomb","nr1","c(-13666044.435649"," 6289416.42406894)",133492.590680372,194960.527361525,57.7297390693447,60.5565648308819,59.9381269644857,55.5490850184293,0.159227722471004,0.102901868513696
"NR05A","nicomekl_river","point","bumble point","Point",49.0858886,-122.7602928,"FVBomb","nr1","c(-13665613.2841292"," 6289447.47796503)",130017.064256525,196265.413647061,61.8553040771995,66.0861669525822,65.8866546306009,62.4678099505709,0.153891799503984,0.0940047249074393
"NR06A","nicomekl_river","point","bumble point","Point",49.0895774,-122.7639943,"FVBomb","nr1","c(-13666025.3332243"," 6290074.49535849)",154260.866612987,230316.893088364,72.5834690619167,71.8414361421593,71.788326673208,77.6424003229555,0.0852799293899228,0.118211664551103
"NR07A","nicomekl_river","point","bumble point","Point",49.0896758,-122.7593916,"FVBomb","nr1","c(-13665512.9630041"," 6290091.22189954)",201001.824821307,282791.990308477,70.8175109757605,70.3521126304423,70.2372259046683,64.194984350693,0.237083916509463,0.145816996686809
"NR08","nicomekl_river","point","bumble point","Point",49.0824401,-122.7700635,"FVBomb",NA,"c(-13666700.9534779"," 6288861.34857627)",161745.371209011,222506.534629981,50.8501288039847,50.8679450482804,50.9181790303627,54.9819954727024,0.19358175953912,0.106695217556316
"NR08A","nicomekl_river","point","bumble point","Point",49.0821239,-122.7707824,"FVBomb",NA,"c(-13666780.9810598"," 6288807.607214)",165534.573552392,228081.697881432,49.6927532615207,50.9557025122761,50.9609966711424,53.1387554171918,0.174737685547222,0.111305947322326
"NR08B","nicomekl_river","point","bumble point","Point",49.0815407,-122.7720698,"FVBomb",NA,"c(-13666924.2937722"," 6288708.4874206)",170058.471396846,236080.219145959,50.9570687046561,51.0957243594981,50.7212067713924,52.2574506189098,0.188430347262021,0.113953230167423
"NR09","nicomekl_river","point","bumble point","Point",49.0843568,-122.76717,"FVBomb",NA,"c(-13666378.8505313"," 6289187.11829423)",146014.364946767,205702.483021138,50.6952354998759,56.2611380612545,55.7961496128981,53.0136458661115,0.188970308577804,0.0987700899830188
